Clock frequency is approx. 2304.0 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	13932	8305	5729	4126	3153	2584	2252	2164	1950	1821	1653	1664	1633	1397	1373	
64m	14001	8538	5921	4458	3380	2939	2051	2192	1907	1792	1764	1597	1573	1475	1406	
32m	14043	8513	6146	5071	4177	3397	2566	2334	2130	2131	1696	1958	1594	1933	1625	
16m	15670	12276	9289	6715	4498	3874	3449	3218	3615	3075	3065	3005	3076	3388	3503	
8m	19777	14137	11536	9649	8452	7312	6479	5404	5368	5139	4908	4700	4539	4420	4343	
4m	21963	15517	12836	10275	8653	7431	6491	5735	5348	4996	4692	4427	4265	4122	4045	
2m	20783	15357	12481	10281	8619	7379	6470	5739	5354	4988	4690	4419	4256	4148	4050	
1024k	20845	15249	12531	10311	8623	7405	6470	5757	5358	4997	4688	4428	4262	4134	4081	
512k	21012	15780	13016	10768	9087	7712	6715	5949	5580	5309	5081	4868	4890	4786	4835	
256k	22850	20730	18102	16292	14211	12580	10969	9892	9620	9584	9626	9698	9667	10237	10122	
128k	23873	23861	23269	22153	19881	17272	15496	13443	13464	13245	13326	12918	13153	13105	12922	
64k	23764	23726	22982	21160	18083	15105	13348	11509	11443	11335	11476	11825	11949	13549	21979	
32k	23712	23476	23214	22962	22945	22630	22376	22153	22424	21815	22570	21541	21190	22278	22070	
16k	23359	22906	22468	22258	21942	21541	22096	22049	21394	21443	21713	21250	20160	18464	18500	
